iter	Accuracy	Logloss
0	0.6935724963	0.691261159
1	0.6935724963	0.6895063895
2	0.7518684604	0.6842019711
3	0.7847533632	0.6790557272
4	0.8191330344	0.6736257173
5	0.8056801196	0.6697565772
6	0.8161434978	0.6688949776
7	0.7907324365	0.6672599536
8	0.7937219731	0.6664104497
9	0.7892376682	0.662137646
10	0.7952167414	0.6608714407
11	0.7907324365	0.6596470763
12	0.7907324365	0.6548643475
13	0.7907324365	0.6534691821
14	0.7922272048	0.6496487474
15	0.7907324365	0.6489632787
16	0.7967115097	0.6449288407
17	0.7967115097	0.6411226744
18	0.8011958146	0.640020119
19	0.8041853513	0.6357777361
20	0.798206278	0.6347244286
21	0.802690583	0.6313131209
22	0.8176382661	0.6266779859
23	0.8176382661	0.6225980028
24	0.7997010463	0.6213305806
25	0.798206278	0.6201715243
26	0.8161434978	0.6170190198
27	0.8161434978	0.6135579033
28	0.8191330344	0.6094234685
29	0.8206278027	0.6063375229
30	0.8176382661	0.6030630515
31	0.8206278027	0.6021683131
32	0.8191330344	0.5993715278
33	0.8206278027	0.5961593275
34	0.8191330344	0.5933801029
35	0.8206278027	0.5898390265
36	0.822122571	0.5863007734
37	0.8266068759	0.5828420971
38	0.8236173393	0.5822584125
39	0.822122571	0.5815281498
40	0.8206278027	0.5808503808
41	0.822122571	0.5780432378
42	0.8236173393	0.5752271234
43	0.8266068759	0.5728572142
44	0.8266068759	0.5696737143
45	0.8266068759	0.5675579834
46	0.8266068759	0.5662464309
47	0.8295964126	0.5639097573
48	0.8325859492	0.5632265399
49	0.8295964126	0.5609582944
50	0.8295964126	0.5600286306
51	0.8281016442	0.5573370842
52	0.8266068759	0.554722276
53	0.8176382661	0.5539733225
54	0.8266068759	0.5521889067
55	0.8236173393	0.5515371243
56	0.8295964126	0.5494779114
57	0.8236173393	0.5480720901
58	0.8251121076	0.5475195308
59	0.8251121076	0.5470091499
60	0.822122571	0.5461835239
61	0.822122571	0.5453128953
62	0.8236173393	0.5447499114
63	0.8236173393	0.5441247408
64	0.8236173393	0.542605168
65	0.8251121076	0.5412610593
66	0.822122571	0.5405561408
67	0.8236173393	0.5401703664
68	0.8251121076	0.5393216018
69	0.8236173393	0.5378875649
70	0.8236173393	0.536234719
71	0.8266068759	0.5343222357
72	0.8266068759	0.5326023363
73	0.8236173393	0.5309912199
74	0.8251121076	0.5296819028
75	0.8251121076	0.5293854256
76	0.8236173393	0.5275967357
77	0.822122571	0.5254286758
78	0.822122571	0.5234710945
79	0.8266068759	0.5230903943
80	0.8251121076	0.5215123393
81	0.8281016442	0.5210208819
82	0.8191330344	0.520010274
83	0.8236173393	0.5195012005
84	0.8251121076	0.5175107067
85	0.8191330344	0.5161848623
86	0.8206278027	0.5145282303
87	0.8266068759	0.5138987995
88	0.8281016442	0.5134542788
89	0.8236173393	0.5119971058
90	0.8266068759	0.5115738712
91	0.8295964126	0.5111538552
92	0.8266068759	0.5099087201
93	0.8266068759	0.5093973772
94	0.8281016442	0.5088297347
95	0.8310911809	0.5085260457
96	0.8281016442	0.5072035126
97	0.8310911809	0.5067125997
98	0.8310911809	0.5057446213
99	0.8266068759	0.504518367
100	0.8266068759	0.5032739964
101	0.8236173393	0.5024099751
102	0.8281016442	0.5018176236
103	0.8236173393	0.500923673
104	0.8236173393	0.499387588
105	0.8236173393	0.4978950608
106	0.8251121076	0.4961814314
107	0.8251121076	0.4958673096
108	0.8251121076	0.4948026861
109	0.8310911809	0.4943770166
110	0.8340807175	0.4940095894
111	0.8251121076	0.4927798158
112	0.8295964126	0.4925407078
113	0.8325859492	0.4923293313
114	0.8295964126	0.4920718611
115	0.8281016442	0.4917549935
116	0.8281016442	0.4915053689
117	0.8281016442	0.4911416081
118	0.8281016442	0.4899044081
119	0.8251121076	0.4897124782
120	0.8266068759	0.4894535851
121	0.8266068759	0.4886897268
122	0.8251121076	0.4875129326
