iter	Passed	Remaining
0	0	344
1	1	426
2	2	474
3	3	464
4	4	465
5	5	489
6	7	539
7	9	596
8	10	578
9	11	551
10	12	555
11	14	606
12	16	600
13	16	586
14	17	581
15	18	567
16	19	562
17	20	550
18	21	540
19	22	532
20	23	526
21	23	517
22	24	518
23	26	516
24	27	520
25	28	526
26	30	530
27	31	526
28	32	520
29	32	513
30	33	508
31	34	502
32	35	498
33	35	491
34	36	485
35	37	479
36	38	477
37	38	472
38	39	469
39	41	471
40	41	467
41	43	469
42	44	472
43	45	472
44	46	468
45	47	463
46	47	461
47	48	457
48	49	453
49	49	449
50	50	445
51	51	442
52	52	438
53	52	436
54	53	435
55	54	434
56	55	432
57	56	430
58	57	430
59	59	433
60	60	434
61	61	435
62	62	433
63	63	430
64	63	427
65	64	425
66	65	422
67	66	423
68	67	424
69	68	422
70	69	421
71	70	420
72	71	419
73	72	418
74	75	425
75	76	425
76	77	424
77	78	423
78	78	420
79	79	419
80	80	417
81	81	415
82	82	413
83	83	411
84	83	409
85	84	408
86	85	407
87	87	407
88	88	407
89	90	410
90	91	409
91	92	409
92	93	407
93	94	406
94	94	404
95	95	402
96	96	400
97	97	398
98	98	397
99	98	395
100	100	395
101	101	394
102	102	393
103	102	391
104	104	393
105	105	392
106	106	392
107	107	390
108	108	389
109	109	387
110	110	386
111	110	384
112	111	382
113	112	380
114	113	378
115	113	376
116	114	375
117	115	374
118	116	372
119	116	370
120	117	368
121	119	369
122	120	369
123	121	369
124	122	367
125	123	366
126	124	364
127	124	363
128	125	361
129	126	360
130	127	358
131	127	356
132	128	354
133	129	354
134	131	354
135	132	353
136	132	352
137	134	353
138	136	353
139	137	352
140	138	351
141	138	350
142	139	348
143	140	346
144	141	345
145	141	343
146	142	342
147	143	340
148	144	339
149	144	337
150	145	337
151	146	336
152	147	335
153	148	334
154	150	335
155	152	336
156	153	335
157	154	333
158	155	332
159	156	331
160	156	330
161	157	328
162	158	327
163	159	325
164	159	324
165	160	323
166	161	322
167	162	321
168	164	321
169	165	322
170	167	321
171	168	320
172	169	319
173	169	318
174	170	316
175	171	315
176	172	314
177	173	312
178	173	311
179	174	310
180	175	309
181	176	307
182	176	306
183	177	305
184	178	304
185	180	304
186	181	304
187	182	303
188	183	302
189	184	301
190	185	299
191	186	298
192	186	297
193	187	296
194	188	295
195	189	293
196	189	292
197	190	291
198	191	289
199	192	288
200	193	288
201	195	287
202	196	287
203	197	286
204	198	285
205	198	283
206	199	282
207	200	281
208	201	279
209	201	278
